FID,wkb_geometry,id,parkomat_id,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.1,POINT (12.564080823816997 55.67017506175936),33,4406,7444,GRØN,VP,TIETGENSGADE,,,2000179,2010-03-01,
parkomat.2,POINT (12.564161158933818 55.670011091625724),34,4407,7444,GRØN,VP,TIETGENSGADE,69,,2000179,2010-03-01,
parkomat.3,POINT (12.563769728594146 55.67019705259214),35,4408,7444,GRØN,VP,TIETGENSGADE,72,,2000179,2010-03-01,
parkomat.4,POINT (12.572719502925628 55.69027643417459),36,4283,7280,GRØN,ØV,SØLVGADE,96,,2000173,2010-03-01,
parkomat.5,POINT (12.58912919899102 55.68816494846281),37,4216,0716,GRØN,KA,BORGERGADE,-,,2000166,2010-03-01,
parkomat.6,POINT (12.58600051901629 55.68450717840108),38,4244,0716,GRØN,KN,BORGERGADE,24,,2000166,2010-03-01,
parkomat.7,POINT (12.586260675395051 55.688364460327655),39,4222,2188,GRØN,KA,GERNERSGADE,41,Husmur,2000166,2010-03-01,
parkomat.8,POINT (12.584135334410753 55.686669176086426),40,4226,3736,GRØN,KA,KLERKEGADE,19,,2000166,2010-03-01,
parkomat.9,POINT (12.584541721671057 55.68730115021712),41,4227,3996,GRØN,KA,KRONPRINSESSEGADE,39,,2000166,2010-03-01,
parkomat.10,POINT (12.585106963262334 55.68772651979323),42,4228,3996,GRØN,KA,KRONPRINSESSEGADE,66,,2000166,2010-03-01,
parkomat.11,POINT (12.561781016082623 55.67391042037744),43,3892,8204,GRØN,VP,VESTERBROGADE,8,,2000151,2010-03-01,
parkomat.12,POINT (12.561921543590792 55.673518017408135),44,3893,8204,GRØN,VP,VESTERBROGADE,9B,,2000151,2010-03-01,
parkomat.13,POINT (12.585979983607496 55.6877344990436),45,4235,6272,GRØN,KA,SKT PAULS GADE,-,,2000166,2010-03-01,
parkomat.14,POINT (12.584183738504553 55.688236173408285),46,4279,5844,GRØN,KA,SANKT PAULS GADE,-,,2000166,2010-03-01,
parkomat.15,POINT (12.586067954762948 55.68224931690423),47,4310,6948,GRØN,KN,STORE KONGENSGADE,26,,2000167,2010-03-01,
parkomat.16,POINT (12.58659321738145 55.68287871501967),48,4311,6948,GRØN,KN,STORE KONGENSGADE,40,,2000167,2010-03-01,
parkomat.17,POINT (12.580296025814958 55.68821824260729),49,4242,8612,GRØN,KA,ØSTER VOLDGADE,8,,2000166,2010-03-01,
parkomat.18,POINT (12.582827985839582 55.682157443758946),50,4251,2272,RØD,KN,GOTHERSGADE,,,2000162,2010-03-01,
parkomat.19,POINT (12.571514236979088 55.68502040204073),51,4061,2272,GRØN,NV,GOTHERSGADE,137,,2000164,2010-03-01,
parkomat.20,POINT (12.567281835410524 55.68631059414818),52,4074,2272,GRØN,NV,GOTHERSGADE,156A,,2000164,2010-03-01,
parkomat.21,POINT (12.56705626596921 55.686189311940325),53,4075,2272,GRØN,NV,GOTHERSGADE,165,,2000164,2010-03-01,
parkomat.22,POINT (12.577342941853338 55.67217310886038),54,4252,8252,GRØN,RH,VESTER VOLDGADE,106,,2000179,2010-03-01,
parkomat.23,POINT (12.577405705872106 55.672369011537775),55,4012,8252,GRØN,RH,VESTER VOLDGADE,125,,2000179,2010-03-01,
parkomat.24,POINT (12.57649465809367 55.67282960921089),56,4011,8252,GRØN,RH,VESTER VOLDGADE,121,,2000179,2010-03-01,
parkomat.25,POINT (12.575551355533023 55.67306535130842),57,4010,8252,GRØN,RH,VESTER VOLDGADE,98,,2000179,2010-03-01,
parkomat.26,POINT (12.574899155437373 55.673682036897496),58,4009,8252,GRØN,RH,VESTER VOLDGADE,109,,2000179,2010-03-01,
parkomat.27,POINT (12.567395060107238 55.67726630182138),59,4001,8252,RØD,NV,VESTER VOLDGADE,10,Husmur,2000179,2010-03-01,
parkomat.28,POINT (12.577601129793328 55.69483441915578),60,4254,1184,GRØN,ØV,COLLINSGADE,9,"Blivende, eksisterende fortovsø",2000182,2010-03-01,
parkomat.29,POINT (12.577714173194247 55.69423178409209),61,4341,8496,GRØN,ØV,ZINNSGADE,10,Ny fortovsø,2000182,2010-03-01,
parkomat.30,POINT (12.56846182630148 55.68637063993822),62,4255,0388,GRØN,NV,BARTHOLINSGADE,2,Eksisterende fortovsø,2000164,2010-03-01,
parkomat.31,POINT (12.567473664109153 55.68676941685137),63,4256,0388,GRØN,NV,BARTHOLINSGADE,9,Husmur,2000164,2010-03-01,
parkomat.32,POINT (12.573919154847118 55.675856248731215),64,3982,4548,RØD,RH,LØNGANGSTRÆDE,19,,2000178,2010-03-01,
